Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
545,2167314000,0,29,19
546,2167340000,EE,0,9495
547,2176842000,0,29,19
548,2176868000,EE,0,9495
549,2186370000,0,29,19
550,2186396000,EE,0,9494
551,2195897250,0,29,19
552,2195923250,EE,0,9495
553,2205425250,0,29,19
554,2205451250,EE,0,9495
555,2214953250,0,29,19
556,2214979250,EE,0,9508
557,2224495000,0,29,19
558,2224521000,EE,0,9495
559,2234023000,0,29,19
560,2234049000,EE,0,9494
561,2243550250,0,29,19
562,2243576250,EE,0,9495
563,2253078250,0,29,19
564,2253104250,EE,0,9495
565,2262606250,0,29,19
566,2262632250,FE,0,9508
567,2272148000,0,29,19
568,2272174000,DC,0,9495
569,2281676000,0,29,19
570,2281702000,DC,0,9495
571,2291204000,0,29,19
572,2291230000,EE,0,9493
573,2300730800,0,29,19
574,2300756800,EE,0,9495
575,2310258800,0,29,19
576,2310284800,EE,0,9495
577,2319786800,0,29,19
578,2319812800,EE,0,9508
579,2329328550,0,29,19
580,2329354550,EE,0,9495
581,2338856550,0,29,19
582,2338882550,EE,0,9515
583,2348404800,0,29,19
584,2348430800,EE,0,9495
585,2357932800,0,29,19
586,2357958800,EE,0,9495
587,2367460800,0,29,19
588,2367486800,EE,0,9508
589,2377002550,0,29,19
590,2377028550,EE,0,9495
591,2386530550,0,29,19
592,2386556550,EE,0,9501
593,2396065300,0,29,19
594,2396091300,DC,0,9495
595,2405593300,0,29,19
596,2405619300,DC,0,9495
597,2415121300,0,29,19
598,2415147300,DC,0,9495
599,2424649350,0,29,19
600,2424675350,EE,0,9508
601,2434191100,0,29,19
602,2434217100,EE,0,9529
603,2443753850,0,29,19
604,2443779850,EE,0,9548
605,2453335100,0,29,19
606,2453361100,EE,0,9492
607,2462860600,0,29,19
608,2462886600,EE,0,9529
609,2472423350,0,29,19
610,2472449350,EE,0,9536
611,2481992600,0,29,19
612,2482018600,EE,0,9519
613,2491545350,0,29,19
614,2491571350,EE,0,9519
615,2501097350,0,29,19
616,2501123350,EE,0,9519
617,2510650100,0,29,19
618,2510676100,EE,0,9506
619,2520189100,0,29,19
620,2520215100,DC,0,9495
621,2529717100,0,29,19
622,2529743100,DC,0,9508
623,2539258850,0,29,19
624,2539284850,DC,0,9494
625,2548786150,0,29,19
626,2548812150,EE,0,9495
627,2558314150,0,29,19
628,2558340150,EE,0,9495
629,2567842150,0,29,19
630,2567868150,EE,0,9495
631,2577370150,0,29,19
632,2577396150,EE,0,9508
633,2586911900,0,29,19
634,2586937900,EE,0,9494
635,2596439150,0,29,19
636,2596465150,EE,0,9495
637,2605967150,0,29,19
638,2605993150,EE,0,9495
639,2615495150,0,29,19
640,2615521150,EE,0,9495
641,2625023150,0,29,19
642,2625049150,EE,0,9495
643,2634551150,0,29,19
644,2634577150,EE,0,9508
645,2644092150,0,29,19
646,2644118150,DC,0,9495
647,2653620150,0,29,19
648,2653646150,DC,0,9495
649,2663148150,0,29,19
650,2663174150,EC,0,9495
651,2672676200,0,29,19
652,2672702200,EE,0,9495
653,2682204200,0,29,19
654,2682230200,EE,0,9508
655,2691745950,0,29,19
656,2691771950,EE,0,9494
657,2701273200,0,29,19
658,2701299200,EE,0,9495
659,2710801200,0,29,19
660,2710827200,EE,0,9495
661,2720329200,0,29,19
662,2720355200,EE,0,9495
663,2729857200,0,29,19
664,2729883200,EE,0,9495
665,2739385200,0,29,19
666,2739411200,EE,0,9508
667,2748926200,0,29,19
668,2748952200,EE,0,9495
669,2758454200,0,29,19
670,2758480200,FE,0,9495
671,2767982200,0,29,19
672,2768008200,DC,0,9495
673,2777510200,0,29,19
674,2777536200,DC,0,9495
675,2787038200,0,29,19
676,2787064200,EE,0,9508
677,2796579250,0,29,19
678,2796605250,EE,0,9495
679,2806107250,0,29,19
680,2806133250,EE,0,9495
681,2815635250,0,29,19
682,2815661250,EE,0,9495
683,2825163250,0,29,19
684,2825189250,EE,0,9495
685,2834691250,0,29,19
686,2834717250,EE,0,9493
687,2844218000,0,29,19
688,2844244000,EE,0,9508
689,2853759750,0,29,19
690,2853785750,EE,0,9495
691,2863287750,0,29,19
692,2863313750,EE,0,9495
693,2872815750,0,29,19
694,2872841750,EE,0,9495
695,2882343750,0,29,19
696,2882369750,FE,0,9495
697,2891871750,0,29,19
698,2891897750,DC,0,9576
699,2901480750,0,29,19
700,2901506750,DC,0,9495
701,2911008800,0,29,19
702,2911034800,EE,0,9495
703,2920536800,0,29,19
704,2920562800,EE,0,9495
705,2930064800,0,29,19
706,2930090800,EE,0,9495
707,2939592800,0,29,19
708,2939618800,EE,0,9493
709,2949119550,0,29,19
710,2949145550,EE,0,9508
711,2958661300,0,29,19
712,2958687300,EE,0,9495
713,2968189300,0,29,19
714,2968215300,EE,0,9495
715,2977717300,0,29,19
716,2977743300,EE,0,9495
717,2987245300,0,29,19
718,2987271300,EE,0,9493
719,2996772050,0,29,19
720,2996798050,EE,0,9508
721,3006313800,0,29,19
722,3006339800,FE,0,9495
723,3015841800,0,29,19
724,3015867800,DC,0,9495
725,3025369800,0,29,19
726,3025395800,DC,0,9495
727,3034897850,0,29,19
728,3034923850,EE,0,9493
729,3044424600,0,29,19
730,3044450600,EE,0,9495
731,3053952600,0,29,19
732,3053978600,EE,0,9508
733,3063494350,0,29,19
734,3063520350,EE,0,9495
735,3073022350,0,29,19
736,3073048350,EE,0,9495
737,3082550350,0,29,19
738,3082576350,EE,0,9577
739,3092160850,0,29,19
740,3092186850,EE,0,9495
741,3101688850,0,29,19
742,3101714850,EE,0,9508
743,3111230600,0,29,19
744,3111256600,EE,0,9495
745,3120758600,0,29,19
746,3120784600,EE,0,9495
747,3130286600,0,29,19
748,3130312600,FE,0,9495
749,3139814600,0,29,19
750,3139840600,DC,0,9494
751,3149341850,0,29,19
752,3149367850,DC,0,9508
753,3158883650,0,29,19
754,3158909650,EE,0,9495
755,3168411650,0,29,19
756,3168437650,EE,0,9495
757,3177939650,0,29,19
758,3177965650,EE,0,9495
759,3187467650,0,29,19
760,3187493650,EE,0,9494
761,3196994900,0,29,19
762,3197020900,EE,0,9495
763,3206522900,0,29,19
764,3206548900,EE,0,9508
765,3216064650,0,29,19
766,3216090650,EE,0,9495
767,3225592650,0,29,19
768,3225618650,EE,0,9495
769,3235120650,0,29,19
770,3235146650,EE,0,9494
771,3244647900,0,29,19
772,3244673900,EE,0,9495
773,3254175900,0,29,19
774,3254201900,FE,0,9508
775,3263717650,0,29,19
776,3263743650,DC,0,9495
777,3273245650,0,29,19
778,3273271650,DC,0,9495
779,3282773700,0,29,19
780,3282799700,EE,0,9562
781,3292368950,0,29,19
782,3292394950,EE,0,9495
783,3301896950,0,29,19
784,3301922950,EE,0,9495
785,3311424950,0,29,19
786,3311450950,EE,0,9508
787,3320966700,0,29,19
788,3320992700,EE,0,9495
789,3330494700,0,29,19
790,3330520700,EE,0,9495
791,3340022700,0,29,19
792,3340048700,EE,0,2416
793,3342471700,0,9,19
794,3342497700,68,0,336
795,3342841450,0,4,18
