Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
990,3545720450,16,0
991,3545773200,0,5
992,3545799200,46,0
993,3545857450,0,9
994,3545883450,12,0
995,3545936200,0,5
996,3545962200,66,0
997,3546020450,0,9
998,3546046450,12,0
999,3546099200,0,5
1000,3546125200,60,0
1001,3546183450,0,9
1002,3546209450,12,0
1003,3546262200,0,5
1004,3546288200,A0,0
1005,3546346450,0,9
1006,3546372450,52,0
1007,3546425450,0,5
1008,3546451450,62,0
1009,3546517200,0,9
1010,3546543200,50,0
1011,3546579200,0,6
1012,3546604450,0,60
1013,3546983200,0,9
1014,3547009200,50,0
1015,3547351450,0,4
1016,3547376700,0,51
1017,3547411950,0,4
1018,3547437200,0,33
1019,3547472450,0,4
1020,3547497700,0,30
1021,3547532950,0,4
1022,3547558200,0,23
1023,3547592200,0,6
1024,3547617450,0,50
1025,3547648200,0,4
1026,3547673450,0,23
1027,3547702700,0,6
1028,3547727950,0,60
1029,3556580950,0,29
1030,3556606950,DC,0
1031,3566120700,0,29
1032,3566146700,DC,0
1033,3575660450,0,29
1034,3575686450,DC,0
1035,3581435200,0,0F
1036,3581461200,C6,0
1037,3581509450,0,9
1038,3581535450,3F,0
1039,3581590700,0,5
1040,3581616700,F0,0
1041,3581677700,0,9
1042,3581703700,1F,0
1043,3581756450,0,5
1044,3581782450,67,0
1045,3581843450,0,9
1046,3581869450,1F,0
1047,3581922200,0,5
1048,3581948200,67,0
1049,3582009200,0,9
1050,3582035200,1F,0
1051,3582087950,0,5
1052,3582113950,77,0
1053,3582174950,0,9
1054,3582200950,1F,0
1055,3582253700,0,5
1056,3582279700,70,0
1057,3582340700,0,9
1058,3582366700,1F,0
1059,3582419450,0,5
1060,3582445450,C7,0
1061,3582506450,0,9
1062,3582532450,1F,0
1063,3582585200,0,5
1064,3582611200,70,0
1065,3582672200,0,9
1066,3582698200,1F,0
1067,3582750950,0,5
1068,3582776950,70,0
1069,3582837950,0,9
1070,3582863950,1F,0
1071,3582916700,0,5
1072,3582942700,E7,0
1073,3583003700,0,9
1074,3583029700,1B,0
1075,3583082450,0,5
1076,3583108450,70,0
1077,3583169450,0,9
1078,3583195450,1B,0
1079,3583248200,0,5
1080,3583274200,70,0
1081,3583335200,0,9
1082,3583361200,1B,0
1083,3583413950,0,5
1084,3583439950,73,0
1085,3583500950,0,9
1086,3583526950,7B,0
1087,3583579950,0,5
1088,3583605950,7C,0
1089,3583674450,0,9
1090,3583700450,78,0
1091,3583736450,0,6
1092,3583761700,0,60
1093,3584334700,0,9
1094,3584360700,78,0
1095,3584703700,0,4
1096,3584728950,0,51
1097,3584764200,0,4
1098,3584789450,0,33
1099,3584824700,0,4
1100,3584849950,0,30
1101,3584885200,0,4
1102,3584910450,0,23
1103,3584944450,0,6
1104,3584969700,0,50
1105,3585000450,0,4
1106,3585025700,0,23
1107,3585054950,0,6
1108,3585080200,0,60
1109,3612433200,0,0F
1110,3612459200,42,0
1111,3612507450,0,9
1112,3612533450,1B,0
1113,3612588700,0,5
1114,3612614700,50,0
1115,3612675950,0,9
1116,3612701950,0B,0
1117,3612754700,0,5
1118,3612780700,23,0
1119,3612841950,0,9
1120,3612867950,0B,0
1121,3612920700,0,5
1122,3612946700,23,0
1123,3613007950,0,9
1124,3613033950,0B,0
1125,3613086700,0,5
1126,3613112700,33,0
1127,3613173950,0,9
1128,3613199950,0B,0
1129,3613252700,0,5
1130,3613278700,30,0
1131,3613339950,0,9
1132,3613365950,0B,0
1133,3613418700,0,5
1134,3613444700,42,0
1135,3613505950,0,9
1136,3613531950,0B,0
1137,3613584700,0,5
1138,3613610700,30,0
1139,3613671950,0,9
1140,3613697950,0B,0
1141,3613750700,0,5
1142,3613776700,30,0
1143,3613837950,0,9
1144,3613863950,0B,0
1145,3613916700,0,5
1146,3613942700,30,0
1147,3614003950,0,9
1148,3614029950,9,0
1149,3614082700,0,5
1150,3614108700,31,0
1151,3614169950,0,9
1152,3614195950,9,0
1153,3614248700,0,5
1154,3614274700,30,0
1155,3614335950,0,9
1156,3614361950,9,0
1157,3614414700,0,5
1158,3614440700,44,0
1159,3614501950,0,9
1160,3614527950,29,0
1161,3614580950,0,5
1162,3614606950,30,0
1163,3614675700,0,9
1164,3614701700,28,0
1165,3614737700,0,6
1166,3614762950,0,60
1167,3619762450,0,29
1168,3619788450,EE,0
1169,3620358200,0,9
1170,3620384200,68,0
1171,3620728200,0,4
1172,3620753450,0,51
1173,3620788700,0,4
1174,3620813950,0,33
1175,3620849200,0,4
1176,3620874450,0,30
1177,3620909700,0,4
1178,3620934950,0,23
1179,3620968950,0,6
1180,3620994200,0,50
1181,3621024950,0,4
1182,3621050200,0,23
1183,3621079450,0,6
1184,3621104700,0,60
1185,3629824950,0,29
1186,3629850950,EE,0
1187,3639423950,0,29
1188,3639449950,EE,0
1189,3649006700,0,29
1190,3649032700,EE,0
1191,3652434200,0,0F
1192,3652460200,42,0
1193,3652508450,0,9
1194,3652534450,1B,0
1195,3652589700,0,5
1196,3652615700,50,0
1197,3652679450,0,9
1198,3652705450,0B,0
1199,3652758200,0,5
1200,3652784200,23,0
1201,3652847950,0,9
1202,3652873950,0B,0
1203,3652926700,0,5
1204,3652952700,23,0
1205,3653016450,0,9
1206,3653042450,0B,0
1207,3653095200,0,5
1208,3653121200,33,0
1209,3653184950,0,9
1210,3653210950,0B,0
1211,3653263700,0,5
1212,3653289700,30,0
1213,3653353450,0,9
1214,3653379450,0B,0
